write_info	1.0
write_demog	1.0
write_epi	1.0
write_final	1.0
Nsets	5.0
Nreps	10.0
dur_p	0.25
Dmax	25.4
D50	3058.0
Dk	0.41
dur_d	0.75
beta_p	2.76
betamax	0.317
beta50	13938.0
betak	1.02
beta_d	0.76
rho	3.46
lifeExpectancy	50.0
dt	0.01
start_time	-5.0
report_from	-2.0
report_every	0.1
end_time	20.0
set	1
pop_size	1000.0
sigma_e	0.5
sigma_m	0.3
start_mu	4.5
contact_rate	0.5
proportionCore	0.2
nonCore_rateMultiplier	0.3
assortativity	0.8
rep	1
t	n_Uninfected_nonCore	n_Uninfected_Core	n_Infected_nonCore	n_Infected_Core	newInfections	ViralLoad_mean
1.3	803	202	1	0	0	4.83955518738
1.4	803	201	1	0	0	4.83955518738
1.5	806	201	1	0	0	4.83955518738
1.6	805	202	1	0	0	4.83955518738
1.7	808	203	1	0	0	4.83955518738
1.8	808	202	1	0	0	4.83955518738
1.9	806	202	1	0	0	4.83955518738
2.0	804	203	1	0	0	4.83955518738
2.1	806	203	1	0	0	4.83955518738
2.2	807	202	1	0	0	4.83955518738
2.3	807	202	1	0	0	4.83955518738
2.4	809	202	1	0	0	4.83955518738
2.5	808	201	1	0	0	4.83955518738
2.6	807	202	1	0	0	4.83955518738
2.7	805	202	1	0	0	4.83955518738
2.8	804	203	1	0	0	4.83955518738
2.9	801	204	1	0	0	4.83955518738
3.0	799	204	1	0	0	4.83955518738
3.1	799	202	1	0	0	4.83955518738
3.2	800	203	1	0	0	4.83955518738
3.3	800	203	1	0	0	4.83955518738
3.4	800	204	1	0	0	4.83955518738
3.5	800	204	1	0	0	4.83955518738
3.6	798	204	1	0	0	4.83955518738
3.7	800	204	1	0	0	4.83955518738
3.8	800	205	1	0	0	4.83955518738
3.9	799	205	1	0	0	4.83955518738
4.0	803	207	2	0	0	4.82243258745
4.1	801	207	2	0	0	4.82243258745
4.2	801	206	2	0	0	4.82243258745
4.3	804	206	2	0	0	4.82243258745
4.4	806	206	2	0	0	4.82243258745
4.5	808	207	2	0	0	4.82243258745
4.6	807	207	2	0	0	4.82243258745
4.7	807	207	2	0	0	4.82243258745
4.8	803	208	2	0	0	4.82243258745
4.9	803	209	2	0	0	4.82243258745
5.0	804	209	2	0	0	4.82243258745
5.1	802	210	2	0	0	4.82243258745
5.2	803	210	2	0	0	4.82243258745
5.3	805	209	2	0	0	4.82243258745
5.4	806	209	2	0	0	4.82243258745
5.5	804	208	2	0	0	4.82243258745
5.6	807	208	2	0	0	4.82243258745
5.7	806	208	2	0	0	4.82243258745
5.8	803	208	2	0	0	4.82243258745
5.9	802	206	2	0	0	4.82243258745
6.0	801	205	2	0	0	4.82243258745
6.1	802	204	2	0	0	4.82243258745
6.2	803	205	2	0	0	4.82243258745
6.3	802	204	2	0	0	4.82243258745
6.4	803	205	2	0	0	4.82243258745
6.5	802	207	2	0	0	4.82243258745
6.6	801	206	2	0	0	4.82243258745
6.7	802	206	2	0	0	4.82243258745
6.8	802	205	2	0	0	4.82243258745
6.9	801	205	2	0	0	4.82243258745
7.0	802	202	2	0	0	4.82243258745
7.1	802	202	2	0	0	4.82243258745
7.2	802	203	2	0	0	4.82243258745
7.3	804	203	2	0	0	4.82243258745
7.4	803	203	2	0	0	4.82243258745
7.5	804	202	2	0	0	4.82243258745
